"ABLG","MDGA","FOXD3","HCN1","HOXB9","HSPA2","IGF2BP3","LOC1139","LOC114","POU4F1","SLC","OTP","PBX3","AgeYRS"
"37160",0.1,0.3,0.03,0.31,0.38,0.17,0.07,0.62,0.01,0.18,0.13,0.89,24.1
"37161",0.07,0.23,0.03,0.2,0.33,0.16,0.07,0.65,0.01,0.16,0.09,0.84,14.1
"37162",0.07,0.24,0.02,0.2,0.43,0.17,0.07,0.6,0.04,0.14,0.07,0.86,17.1
"37163",0.08,0.27,0.03,0.26,0.42,0.17,0.06,0.65,0.01,0.17,0.11,0.9,17.1
"37164",0.09,0.24,0.03,0.28,0.5,0.18,0.07,0.59,0.02,0.18,0.13,0.91,24.1
"37165",0.07,0.19,0.03,0.22,0.4,0.16,0.07,0.62,0.01,0.15,0.09,0.91,14.1
"37166",0.07,0.17,0.03,0.21,0.41,0.16,0.07,0.64,0.02,0.17,0.11,0.91,15.1
"37167",0.09,0.2,0.04,0.2,0.45,0.18,0.08,0.64,0.01,0.17,0.13,0.91,23.1
"37168",0.08,0.25,0.04,0.29,0.42,0.17,0.08,0.6,0.06,0.17,0.12,0.9,24.1
"37169",0.07,0.26,0.03,0.25,0.37,0.16,0.06,0.57,0.01,0.16,0.1,0.88,17.1
"37170",0.07,0.24,0.03,0.2,0.35,0.16,0.07,0.61,0.01,0.16,0.1,0.89,15.1
"37171",0.08,0.28,0.02,0.19,0.42,0.17,0.07,0.63,0.01,0.15,0.1,0.89,13.1
"37172",0.07,0.26,0.04,0.22,0.37,0.17,0.08,0.65,0.01,0.15,0.1,0.88,15.1
"37173",0.08,0.21,0.02,0.2,0.33,0.17,0.06,0.61,0.02,0.13,0.09,0.91,10.4
"37174",0.07,0.26,0.03,0.23,0.33,0.16,0.06,0.63,0.01,0.14,0.05,0.86,16.8
"37175",0.07,0.26,0.02,0.23,0.38,0.18,0.06,0.63,0.01,0.15,0.1,0.87,13.8
"37176",0.07,0.26,0.02,0.21,0.38,0.16,0.06,0.61,0.01,0.15,0.13,0.87,17.8
"37177",0.07,0.24,0.03,0.21,0.32,0.16,0.07,0.66,0.01,0.15,0.1,0.84,17.1
"37178",0.07,0.26,0.03,0.19,0.38,0.17,0.07,0.61,0.01,0.15,0.1,0.88,16.1
"37179",0.07,0.28,0.02,0.18,0.39,0.17,0.07,0.63,0.01,0.16,0.1,0.89,18.1
"37180",0.07,0.26,0.03,0.17,0.37,0.17,0.06,0.59,0.01,0.15,0.1,0.9,15.1
"37181",0.06,0.25,0.02,0.16,0.35,0.16,0.06,0.59,0,0.13,0.08,0.85,9.1
"37182",0.07,0.22,0.02,0.2,0.32,0.16,0.06,0.62,0.01,0.13,0.08,0.89,9.1
"37183",0.07,0.19,0.03,0.21,0.34,0.15,0.07,0.65,0.01,0.15,0.09,0.87,11.1
"37184",0.07,0.25,0.03,0.22,0.45,0.2,0.07,0.67,0,0.16,0.1,0.92,15.1
"37185",0.06,0.2,0.02,0.2,0.33,0.17,0.05,0.61,0.02,0.13,0.05,0.88,11.1
"37186",0.07,0.29,0.02,0.15,0.4,0.16,0.07,0.6,0.01,0.15,0.1,0.91,17.1
"37187",0.07,0.31,0.02,0.16,0.4,0.16,0.06,0.61,0.01,0.15,0.11,0.91,15.1
"37188",0.07,0.29,0.02,0.13,0.36,0.16,0.06,0.6,0.02,0.16,0.09,0.88,17.1
"37189",0.05,0.24,0.02,0.14,0.31,0.16,0.06,0.59,0.01,0.13,0.07,0.89,9.1
"37190",0.07,0.32,0.02,0.2,0.35,0.16,0.06,0.62,0,0.14,0.08,0.89,9.1
"37191",0.08,0.25,0.03,0.25,0.42,0.17,0.07,0.63,0.01,0.16,0.11,0.91,19.1
"37192",0.08,0.24,0.03,0.21,0.36,0.16,0.07,0.59,0.01,0.15,0.13,0.9,11.1
"37193",0.07,0.29,0.03,0.2,0.38,0.16,0.07,0.61,0.02,0.16,0.1,0.9,15.1
"37194",0.07,0.31,0.03,0.14,0.4,0.17,0.06,0.64,0.01,0.13,0.08,0.84,11.3
"37195",0.08,0.26,0.04,0.13,0.44,0.17,0.08,0.6,0.01,0.18,0.12,0.88,18.1
"37196",0.07,0.29,0.03,0.18,0.39,0.16,0.06,0.63,0.01,0.15,0.1,0.9,15.1
"37197",0.07,0.27,0.03,0.23,0.39,0.16,0.07,0.59,0.01,0.15,0.11,0.92,18.1
"37198",0.06,0.15,0.04,0.21,0.35,0.14,0.06,0.63,0.03,0.15,0.12,0.83,17.1
"37199",0.07,0.26,0.04,0.22,0.38,0.17,0.07,0.64,0.01,0.17,0.15,0.89,16.1
"37200",0.07,0.26,0.02,0.23,0.36,0.17,0.07,0.62,0.01,0.14,0.14,0.9,16
"37201",0.08,0.25,0.03,0.2,0.39,0.17,0.07,0.62,0.02,0.15,0.09,0.89,16.1
"37202",0.08,0.24,0.02,0.2,0.38,0.15,0.1,0.62,0.05,0.17,0.14,0.88,16.1
"37203",0.06,0.29,0.01,0.2,0.34,0.15,0.06,0.61,0,0.13,0.08,0.87,5.2
"37204",0.06,0.26,0.02,0.3,0.34,0.17,0.06,0.59,0,0.12,0.08,0.89,5.2
"37205",0.07,0.28,0.02,0.31,0.38,0.16,0.06,0.62,0,0.14,0.09,0.87,12.2
"37206",0.06,0.23,0.02,0.19,0.27,0.15,0.06,0.61,0.01,0.14,0.08,0.88,8
"37207",0.06,0.27,0.02,0.16,0.33,0.16,0.21,0.61,0.01,0.12,0.14,0.93,7.9
"37208",0.07,0.22,0.02,0.15,0.31,0.16,0.06,0.61,0.01,0.13,0.08,0.89,5.9
"37209",0.08,0.22,0.04,0.21,0.32,0.16,0.07,0.6,0.01,0.14,0.09,0.86,14.1
"37210",0.07,0.29,0.03,0.19,0.32,0.16,0.06,0.62,0.01,0.14,0.1,0.84,17.1
"37211",0.08,0.24,0.03,0.19,0.36,0.16,0.07,0.64,0.01,0.16,0.1,0.91,12.1
"37212",0.06,0.28,0.02,0.22,0.34,0.16,0.07,0.63,0.01,0.15,0.09,0.86,14.1
"37213",0.08,0.27,0.03,0.21,0.38,0.17,0.07,0.62,0.01,0.17,0.11,0.88,18.1
"37214",0.07,0.24,0.02,0.22,0.32,0.16,0.06,0.63,0.01,0.14,0.09,0.87,12.1
"37215",0.08,0.23,0.03,0.27,0.38,0.17,0.09,0.63,0.01,0.15,0.14,0.88,20.1
"37216",0.08,0.27,0.04,0.24,0.36,0.16,0.06,0.65,0,0.16,0.15,0.89,17.1
"37217",0.08,0.24,0.03,0.18,0.34,0.16,0.06,0.61,0.01,0.14,0.09,0.86,14.1
"37218",0.08,0.28,0.03,0.27,0.43,0.19,0.07,0.71,0.01,0.16,0.12,0.87,14.1
"37219",0.06,0.27,0.02,0.18,0.3,0.15,0.06,0.6,0,0.16,0.11,0.87,8.1
"37220",0.07,0.28,0.03,0.24,0.39,0.16,0.07,0.63,0.01,0.17,0.1,0.87,18.1
"37221",0.06,0.24,0.02,0.18,0.35,0.16,0.06,0.63,0.01,0.13,0.08,0.86,8.1
"37222",0.06,0.23,0.02,0.17,0.29,0.16,0.06,0.62,0.01,0.14,0.07,0.84,8.1
"37223",0.07,0.21,0.02,0.22,0.37,0.16,0.06,0.64,0,0.16,0.12,0.88,18.1
"37224",0.07,0.26,0.02,0.22,0.37,0.17,0.06,0.64,0.01,0.14,0.09,0.83,20.1
"37225",0.06,0.27,0.02,0.16,0.37,0.16,0.07,0.63,0.01,0.16,0.09,0.87,14.1
"37226",0.07,0.28,0.03,0.14,0.35,0.16,0.07,0.61,0.01,0.13,0.09,0.86,12.1
"37227",0.06,0.27,0.02,0.18,0.38,0.17,0.06,0.63,0.01,0.14,0.11,0.86,14.1
"37228",0.07,0.25,0.03,0.13,0.32,0.16,0.07,0.62,0,0.14,0.08,0.92,8.1
"37229",0.06,0.26,0.02,0.15,0.33,0.16,0.07,0.61,0.01,0.13,0.08,0.87,8.1
"37230",0.07,0.26,0.03,0.22,0.33,0.17,0.07,0.6,0.01,0.15,0.08,0.87,13
"37231",0.08,0.21,0.03,0.2,0.37,0.17,0.04,0.62,0.01,0.17,0.14,0.84,20.1
"37232",0.07,0.24,0.03,0.24,0.35,0.16,0.07,0.62,0.02,0.14,0.12,0.88,16
"37233",0.06,0.23,0.02,0.18,0.32,0.15,0.07,0.6,0,0.13,0.11,0.85,6
"37234",0.07,0.22,0.02,0.2,0.29,0.16,0.06,0.6,0.01,0.14,0.07,0.9,6.1
"37235",0.06,0.28,0.02,0.17,0.33,0.15,0.06,0.62,0,0.13,0.08,0.85,6.1
"37236",0.07,0.26,0.02,0.24,0.33,0.16,0.07,0.62,0,0.14,0.08,0.91,6.1
"37237",0.04,0.21,0,0.14,0.23,0.17,0.05,0.63,0,0.09,0.06,0.7,6.2
"37238",0.07,0.23,0.02,0.21,0.34,0.17,0.05,0.64,0.01,0.12,0.14,0.85,18.4
"37239",0.07,0.2,0.01,0.18,0.27,0.16,0.06,0.63,0.01,0.14,0.08,0.86,10.4
"37240",0.07,0.23,0.03,0.22,0.32,0.16,0.05,0.66,0.01,0.12,0.09,0.83,14
"37241",0.08,0.25,0.04,0.27,0.36,0.18,0.07,0.62,0.02,0.16,0.11,0.9,18
"37242",0.08,0.29,0.03,0.2,0.38,0.17,0.08,0.59,0.01,0.16,0.12,0.85,18.1
"37243",0.06,0.24,0.02,0.18,0.31,0.16,0.06,0.63,0.01,0.13,0.08,0.85,7
"37244",0.07,0.25,0.02,0.19,0.42,0.17,0.06,0.61,0.01,0.14,0.1,0.89,17.1
"37245",0.07,0.24,0.02,0.18,0.34,0.16,0.06,0.61,0.01,0.14,0.08,0.88,7.1
"37246",0.06,0.26,0.03,0.22,0.32,0.16,0.06,0.61,0.01,0.13,0.07,0.86,7
"37247",0.07,0.23,0.03,0.19,0.37,0.16,0.06,0.65,0.01,0.12,0.08,0.83,9.1
"37248",0.06,0.22,0.02,0.23,0.33,0.16,0.07,0.62,0.01,0.14,0.09,0.9,9.1
"37249",0.08,0.21,0.03,0.28,0.42,0.17,0.06,0.6,0,0.16,0.1,0.87,19.1
"37250",0.06,0.21,0.02,0.2,0.35,0.17,0.06,0.63,0.01,0.12,0.08,0.87,13.1
"37251",0.07,0.22,0.03,0.18,0.33,0.16,0.07,0.61,0.01,0.16,0.1,0.9,15.1
"37252",0.08,0.21,0.03,0.22,0.35,0.16,0.08,0.61,0,0.17,0.13,0.86,19.1
"37253",0.08,0.24,0.02,0.25,0.42,0.17,0.07,0.64,0.01,0.17,0.11,0.88,23.1
"37254",0.07,0.2,0.02,0.18,0.29,0.16,0.06,0.62,0.01,0.14,0.08,0.9,9.1
